1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5F0000007D602141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu May 19 08:53:01 BST 2022
Mission Sample Count:  1207
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu May 19 08:53:01 BST 2022
Total Mission Samples:  1207
Total Device Samples:  10799
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
19/05/22 08:53:01,%RH,84.342
19/05/22 09:23:01,%RH,80.582
19/05/22 09:53:01,%RH,78.398
19/05/22 10:23:01,%RH,75.632
19/05/22 10:53:01,%RH,68.829
19/05/22 11:23:01,%RH,71.123
19/05/22 11:53:01,%RH,66.51
19/05/22 12:23:01,%RH,59.998
19/05/22 12:53:01,%RH,50.178
19/05/22 13:23:01,%RH,52.672
19/05/22 13:53:01,%RH,48.922
19/05/22 14:23:01,%RH,50.804
19/05/22 14:53:01,%RH,50.804
19/05/22 15:23:01,%RH,47.025
19/05/22 15:53:01,%RH,42.543
19/05/22 16:23:01,%RH,37.981
19/05/22 16:53:01,%RH,38.637
19/05/22 17:23:01,%RH,37.981
19/05/22 17:53:01,%RH,39.946
19/05/22 18:23:01,%RH,52.672
19/05/22 18:53:01,%RH,60.598
19/05/22 19:23:01,%RH,57.582
19/05/22 19:53:01,%RH,67.092
19/05/22 20:23:01,%RH,71.123
19/05/22 20:53:01,%RH,80.582
19/05/22 21:23:01,%RH,87.502
19/05/22 21:53:01,%RH,89.06
19/05/22 22:23:01,%RH,93.143
19/05/22 22:53:01,%RH,95.147
19/05/22 23:23:01,%RH,97.124
19/05/22 23:53:01,%RH,98.103
20/05/22 00:23:01,%RH,98.59
20/05/22 00:53:01,%RH,98.59
20/05/22 01:23:01,%RH,98.59
20/05/22 01:53:01,%RH,99.559
20/05/22 02:23:01,%RH,97.614
20/05/22 02:53:01,%RH,97.614
20/05/22 03:23:01,%RH,96.139
20/05/22 03:53:01,%RH,97.614
20/05/22 04:23:01,%RH,96.632
20/05/22 04:53:01,%RH,98.103
20/05/22 05:23:01,%RH,99.075
20/05/22 05:53:01,%RH,96.139
20/05/22 06:23:01,%RH,95.147
20/05/22 06:53:01,%RH,91.624
20/05/22 07:23:01,%RH,90.09
20/05/22 07:53:01,%RH,89.576
20/05/22 08:23:01,%RH,92.132
20/05/22 08:53:01,%RH,89.576
20/05/22 09:23:01,%RH,88.542
20/05/22 09:53:01,%RH,93.647
20/05/22 10:23:01,%RH,94.648
20/05/22 10:53:01,%RH,94.148
20/05/22 11:23:01,%RH,92.132
20/05/22 11:53:01,%RH,86.455
20/05/22 12:23:01,%RH,89.576
20/05/22 12:53:01,%RH,81.665
20/05/22 13:23:01,%RH,80.582
20/05/22 13:53:01,%RH,81.124
20/05/22 14:23:01,%RH,80.039
20/05/22 14:53:01,%RH,89.576
20/05/22 15:23:01,%RH,85.929
20/05/22 15:53:01,%RH,82.74
20/05/22 16:23:01,%RH,85.402
20/05/22 16:53:01,%RH,85.402
20/05/22 17:23:01,%RH,94.148
20/05/22 17:53:01,%RH,94.648
20/05/22 18:23:01,%RH,96.139
20/05/22 18:53:01,%RH,95.643
20/05/22 19:23:01,%RH,95.147
20/05/22 19:53:01,%RH,93.143
20/05/22 20:23:01,%RH,95.643
20/05/22 20:53:01,%RH,96.139
20/05/22 21:23:01,%RH,95.643
20/05/22 21:53:01,%RH,96.632
20/05/22 22:23:01,%RH,96.139
20/05/22 22:53:01,%RH,95.147
20/05/22 23:23:01,%RH,95.643
