1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E50000007D93F841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu May 19 08:48:01 BST 2022
Mission Sample Count:  1204
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu May 19 08:48:01 BST 2022
Total Mission Samples:  1204
Total Device Samples:  11364
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
19/05/22 08:48:01,%RH,90.397
19/05/22 09:18:01,%RH,88.8
19/05/22 09:48:01,%RH,88.265
19/05/22 10:18:01,%RH,85.571
19/05/22 10:48:01,%RH,78.409
19/05/22 11:18:01,%RH,81.19
19/05/22 11:48:01,%RH,78.409
19/05/22 12:18:01,%RH,71.021
19/05/22 12:48:01,%RH,65.775
19/05/22 13:18:01,%RH,58.612
19/05/22 13:48:01,%RH,61.021
19/05/22 14:18:01,%RH,61.62
19/05/22 14:48:01,%RH,62.813
19/05/22 15:18:01,%RH,61.62
19/05/22 15:48:01,%RH,61.62
19/05/22 16:18:01,%RH,60.42
19/05/22 16:48:01,%RH,58.006
19/05/22 17:18:01,%RH,64.594
19/05/22 17:48:01,%RH,62.813
19/05/22 18:18:01,%RH,66.363
19/05/22 18:48:01,%RH,71.021
19/05/22 19:18:01,%RH,69.865
19/05/22 19:48:01,%RH,72.746
19/05/22 20:18:01,%RH,75.594
19/05/22 20:48:01,%RH,81.19
19/05/22 21:18:01,%RH,86.653
19/05/22 21:48:01,%RH,88.265
19/05/22 22:18:01,%RH,90.397
19/05/22 22:48:01,%RH,91.455
19/05/22 23:18:01,%RH,90.927
19/05/22 23:48:01,%RH,91.982
20/05/22 00:18:01,%RH,93.032
20/05/22 00:48:01,%RH,93.555
20/05/22 01:18:01,%RH,93.032
20/05/22 01:48:01,%RH,94.596
20/05/22 02:18:01,%RH,94.596
20/05/22 02:48:01,%RH,95.633
20/05/22 03:18:01,%RH,95.633
20/05/22 03:48:01,%RH,96.149
20/05/22 04:18:01,%RH,96.664
20/05/22 04:48:01,%RH,95.115
20/05/22 05:18:01,%RH,96.149
20/05/22 05:48:01,%RH,96.149
20/05/22 06:18:01,%RH,95.115
20/05/22 06:48:01,%RH,94.596
20/05/22 07:18:01,%RH,93.032
20/05/22 07:48:01,%RH,92.508
20/05/22 08:18:01,%RH,94.596
20/05/22 08:48:01,%RH,91.982
20/05/22 09:18:01,%RH,90.927
20/05/22 09:48:01,%RH,94.076
20/05/22 10:18:01,%RH,96.664
20/05/22 10:48:01,%RH,97.178
20/05/22 11:18:01,%RH,97.178
20/05/22 11:48:01,%RH,95.115
20/05/22 12:18:01,%RH,94.076
20/05/22 12:48:01,%RH,91.455
20/05/22 13:18:01,%RH,88.265
20/05/22 13:48:01,%RH,87.192
20/05/22 14:18:01,%RH,90.397
20/05/22 14:48:01,%RH,95.633
20/05/22 15:18:01,%RH,94.596
20/05/22 15:48:01,%RH,93.555
20/05/22 16:18:01,%RH,91.982
20/05/22 16:48:01,%RH,91.982
20/05/22 17:18:01,%RH,95.115
20/05/22 17:48:01,%RH,97.69
20/05/22 18:18:01,%RH,98.201
20/05/22 18:48:01,%RH,99.219
20/05/22 19:18:01,%RH,97.178
20/05/22 19:48:01,%RH,98.201
20/05/22 20:18:01,%RH,96.664
20/05/22 20:48:01,%RH,99.726
20/05/22 21:18:01,%RH,97.178
20/05/22 21:48:01,%RH,100.231
20/05/22 22:18:01,%RH,98.71
20/05/22 22:48:01,%RH,96.664
20/05/22 23:18:01,%RH,98.71
20/05/22 23:48:01,%RH,99.219
21/05/22 00:18:01,%RH,98.201
21/05/22 00:48:01,%RH,97.69
21/05/22 01:18:01,%RH,96.664
21/05/22 01:48:01,%RH,97.69
21/05/22 02:18:01,%RH,100.231
21/05/22 02:48:01,%RH,99.219
21/05/22 03:18:01,%RH,99.219
21/05/22 03:48:01,%RH,98.201
21/05/22 04:18:01,%RH,98.71
21/05/22 04:48:01,%RH,98.201
21/05/22 05:18:01,%RH,99.219
21/05/22 05:48:01,%RH,98.71
21/05/22 06:18:01,%RH,98.71
21/05/22 06:48:01,%RH,96.149
21/05/22 07:18:01,%RH,97.178
21/05/22 07:48:01,%RH,94.076
21/05/22 08:18:01,%RH,85.571
21/05/22 08:48:01,%RH,88.8
21/05/22 09:18:01,%RH,84.484
21/05/22 09:48:01,%RH,83.938
21/05/22 10:18:01,%RH,90.927
21/05/22 10:48:01,%RH,94.076
21/05/22 11:18:01,%RH,95.633
21/05/22 11:48:01,%RH,95.633
21/05/22 12:18:01,%RH,91.982
21/05/22 12:48:01,%RH,89.334
21/05/22 13:18:01,%RH,85.028
21/05/22 13:48:01,%RH,84.484
21/05/22 14:18:01,%RH,80.637
21/05/22 14:48:01,%RH,83.391
21/05/22 15:18:01,%RH,84.484
21/05/22 15:48:01,%RH,84.484
21/05/22 16:18:01,%RH,85.028
21/05/22 16:48:01,%RH,83.391
21/05/22 17:18:01,%RH,86.112
21/05/22 17:48:01,%RH,89.866
21/05/22 18:18:01,%RH,90.397
21/05/22 18:48:01,%RH,90.927
21/05/22 19:18:01,%RH,90.927
21/05/22 19:48:01,%RH,91.455
21/05/22 20:18:01,%RH,88.8
21/05/22 20:48:01,%RH,91.455
21/05/22 21:18:01,%RH,93.555
21/05/22 21:48:01,%RH,93.555
21/05/22 22:18:01,%RH,95.115
21/05/22 22:48:01,%RH,95.633
21/05/22 23:18:01,%RH,93.032
21/05/22 23:48:01,%RH,94.076
22/05/22 00:18:01,%RH,95.115
22/05/22 00:48:01,%RH,96.664
22/05/22 01:18:01,%RH,97.178
22/05/22 01:48:01,%RH,97.69
22/05/22 02:18:01,%RH,97.69
22/05/22 02:48:01,%RH,97.178
22/05/22 03:18:01,%RH,97.69
22/05/22 03:48:01,%RH,97.69
22/05/22 04:18:01,%RH,99.219
22/05/22 04:48:01,%RH,99.219
22/05/22 05:18:01,%RH,98.71
22/05/22 05:48:01,%RH,99.726
22/05/22 06:18:01,%RH,99.726
22/05/22 06:48:01,%RH,99.219
22/05/22 07:18:01,%RH,98.71
22/05/22 07:48:01,%RH,98.71
22/05/22 08:18:01,%RH,99.219
22/05/22 08:48:01,%RH,99.726
22/05/22 09:18:01,%RH,100.231
22/05/22 09:48:01,%RH,100.735
22/05/22 10:18:01,%RH,100.735
22/05/22 10:48:01,%RH,101.74
22/05/22 11:18:01,%RH,100.735
22/05/22 11:48:01,%RH,101.74
22/05/22 12:18:01,%RH,101.74
22/05/22 12:48:01,%RH,101.238
22/05/22 13:18:01,%RH,101.74
22/05/22 13:48:01,%RH,101.238
22/05/22 14:18:01,%RH,101.238
22/05/22 14:48:01,%RH,101.238
22/05/22 15:18:01,%RH,101.74
22/05/22 15:48:01,%RH,101.74
22/05/22 16:18:01,%RH,101.238
22/05/22 16:48:01,%RH,100.735
22/05/22 17:18:01,%RH,101.74
22/05/22 17:48:01,%RH,100.231
22/05/22 18:18:01,%RH,98.71
22/05/22 18:48:01,%RH,97.69
22/05/22 19:18:01,%RH,98.201
22/05/22 19:48:01,%RH,99.726
22/05/22 20:18:01,%RH,100.735
22/05/22 20:48:01,%RH,99.726
22/05/22 21:18:01,%RH,100.231
22/05/22 21:48:01,%RH,100.231
22/05/22 22:18:01,%RH,100.231
22/05/22 22:48:01,%RH,100.735
22/05/22 23:18:01,%RH,101.238
22/05/22 23:48:01,%RH,100.735
23/05/22 00:18:01,%RH,101.238
23/05/22 00:48:01,%RH,101.74
23/05/22 01:18:01,%RH,102.24
23/05/22 01:48:01,%RH,102.24
23/05/22 02:18:01,%RH,102.24
23/05/22 02:48:01,%RH,102.739
23/05/22 03:18:01,%RH,103.237
23/05/22 03:48:01,%RH,102.24
23/05/22 04:18:01,%RH,102.739
23/05/22 04:48:01,%RH,102.739
23/05/22 05:18:01,%RH,102.739
23/05/22 05:48:01,%RH,102.739
23/05/22 06:18:01,%RH,102.24
23/05/22 06:48:01,%RH,101.238
23/05/22 07:18:01,%RH,101.74
23/05/22 07:48:01,%RH,101.74
23/05/22 08:18:01,%RH,100.231
23/05/22 08:48:01,%RH,100.735
23/05/22 09:18:01,%RH,99.219
23/05/22 09:48:01,%RH,98.71
23/05/22 10:18:01,%RH,94.076
23/05/22 10:48:01,%RH,98.201
23/05/22 11:18:01,%RH,96.149
23/05/22 11:48:01,%RH,96.149
23/05/22 12:18:01,%RH,94.076
23/05/22 12:48:01,%RH,95.115
23/05/22 13:18:01,%RH,93.555
23/05/22 13:48:01,%RH,88.265
23/05/22 14:18:01,%RH,95.115
23/05/22 14:48:01,%RH,92.508
23/05/22 15:18:01,%RH,93.032
