1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 350000007D600541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu May 19 08:49:01 BST 2022
Mission Sample Count:  1202
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu May 19 08:49:01 BST 2022
Total Mission Samples:  1202
Total Device Samples:  10808
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
19/05/22 08:49:01,%RH,87.636
19/05/22 09:19:01,%RH,87.636
19/05/22 09:49:01,%RH,85.449
19/05/22 10:19:01,%RH,85.449
19/05/22 10:49:01,%RH,78.179
19/05/22 11:19:01,%RH,80.442
19/05/22 11:49:01,%RH,78.747
19/05/22 12:19:01,%RH,69.483
19/05/22 12:49:01,%RH,67.109
19/05/22 13:19:01,%RH,59.847
19/05/22 13:49:01,%RH,59.847
19/05/22 14:19:01,%RH,63.504
19/05/22 14:49:01,%RH,61.072
19/05/22 15:19:01,%RH,61.072
19/05/22 15:49:01,%RH,59.847
19/05/22 16:19:01,%RH,58.616
19/05/22 16:49:01,%RH,54.262
19/05/22 17:19:01,%RH,53.005
19/05/22 17:49:01,%RH,56.759
19/05/22 18:19:01,%RH,57.379
19/05/22 18:49:01,%RH,59.847
19/05/22 19:19:01,%RH,60.46
19/05/22 19:49:01,%RH,67.109
19/05/22 20:19:01,%RH,72.418
19/05/22 20:49:01,%RH,75.892
19/05/22 21:19:01,%RH,82.124
19/05/22 21:49:01,%RH,85.449
19/05/22 22:19:01,%RH,88.721
19/05/22 22:49:01,%RH,88.721
19/05/22 23:19:01,%RH,90.874
19/05/22 23:49:01,%RH,91.408
20/05/22 00:19:01,%RH,91.408
20/05/22 00:49:01,%RH,94.059
20/05/22 01:19:01,%RH,92.473
20/05/22 01:49:01,%RH,95.631
20/05/22 02:19:01,%RH,95.109
20/05/22 02:49:01,%RH,94.584
20/05/22 03:19:01,%RH,94.059
20/05/22 03:49:01,%RH,94.584
20/05/22 04:19:01,%RH,94.584
20/05/22 04:49:01,%RH,95.631
20/05/22 05:19:01,%RH,96.153
20/05/22 05:49:01,%RH,94.584
20/05/22 06:19:01,%RH,95.631
20/05/22 06:49:01,%RH,94.584
20/05/22 07:19:01,%RH,92.473
20/05/22 07:49:01,%RH,90.874
20/05/22 08:19:01,%RH,91.408
20/05/22 08:49:01,%RH,90.338
20/05/22 09:19:01,%RH,88.721
20/05/22 09:49:01,%RH,91.408
20/05/22 10:19:01,%RH,92.473
20/05/22 10:49:01,%RH,95.109
20/05/22 11:19:01,%RH,94.059
20/05/22 11:49:01,%RH,90.874
20/05/22 12:19:01,%RH,89.8
20/05/22 12:49:01,%RH,87.636
20/05/22 13:19:01,%RH,83.793
20/05/22 13:49:01,%RH,84.346
20/05/22 14:19:01,%RH,84.898
20/05/22 14:49:01,%RH,90.874
20/05/22 15:19:01,%RH,90.338
20/05/22 15:49:01,%RH,87.636
20/05/22 16:19:01,%RH,87.092
20/05/22 16:49:01,%RH,87.092
20/05/22 17:19:01,%RH,91.941
20/05/22 17:49:01,%RH,95.109
20/05/22 18:19:01,%RH,95.631
20/05/22 18:49:01,%RH,96.153
20/05/22 19:19:01,%RH,95.631
20/05/22 19:49:01,%RH,95.631
20/05/22 20:19:01,%RH,95.109
20/05/22 20:49:01,%RH,96.153
20/05/22 21:19:01,%RH,96.153
20/05/22 21:49:01,%RH,97.191
20/05/22 22:19:01,%RH,95.109
20/05/22 22:49:01,%RH,96.153
20/05/22 23:19:01,%RH,96.153
20/05/22 23:49:01,%RH,96.153
21/05/22 00:19:01,%RH,96.673
21/05/22 00:49:01,%RH,96.153
21/05/22 01:19:01,%RH,95.631
21/05/22 01:49:01,%RH,95.631
21/05/22 02:19:01,%RH,97.708
21/05/22 02:49:01,%RH,96.673
21/05/22 03:19:01,%RH,95.109
21/05/22 03:49:01,%RH,94.059
21/05/22 04:19:01,%RH,95.109
21/05/22 04:49:01,%RH,95.631
21/05/22 05:19:01,%RH,97.191
21/05/22 05:49:01,%RH,96.153
21/05/22 06:19:01,%RH,95.109
21/05/22 06:49:01,%RH,96.153
21/05/22 07:19:01,%RH,91.941
21/05/22 07:49:01,%RH,90.874
21/05/22 08:19:01,%RH,88.18
21/05/22 08:49:01,%RH,86.546
21/05/22 09:19:01,%RH,82.682
21/05/22 09:49:01,%RH,80.442
21/05/22 10:19:01,%RH,89.262
21/05/22 10:49:01,%RH,90.338
21/05/22 11:19:01,%RH,93.531
21/05/22 11:49:01,%RH,89.262
21/05/22 12:19:01,%RH,87.092
21/05/22 12:49:01,%RH,84.346
21/05/22 13:19:01,%RH,81.565
21/05/22 13:49:01,%RH,81.565
21/05/22 14:19:01,%RH,78.747
21/05/22 14:49:01,%RH,76.466
21/05/22 15:19:01,%RH,81.004
21/05/22 15:49:01,%RH,80.442
21/05/22 16:19:01,%RH,81.565
21/05/22 16:49:01,%RH,80.442
21/05/22 17:19:01,%RH,80.442
21/05/22 17:49:01,%RH,83.793
21/05/22 18:19:01,%RH,83.793
21/05/22 18:49:01,%RH,84.346
21/05/22 19:19:01,%RH,84.346
21/05/22 19:49:01,%RH,85.998
21/05/22 20:19:01,%RH,84.898
21/05/22 20:49:01,%RH,87.636
21/05/22 21:19:01,%RH,88.721
21/05/22 21:49:01,%RH,90.874
21/05/22 22:19:01,%RH,90.874
21/05/22 22:49:01,%RH,93.003
21/05/22 23:19:01,%RH,91.408
21/05/22 23:49:01,%RH,90.874
22/05/22 00:19:01,%RH,91.408
22/05/22 00:49:01,%RH,93.003
22/05/22 01:19:01,%RH,95.109
22/05/22 01:49:01,%RH,95.109
22/05/22 02:19:01,%RH,94.584
22/05/22 02:49:01,%RH,95.631
22/05/22 03:19:01,%RH,96.153
22/05/22 03:49:01,%RH,96.673
22/05/22 04:19:01,%RH,96.673
22/05/22 04:49:01,%RH,96.153
22/05/22 05:19:01,%RH,97.191
22/05/22 05:49:01,%RH,97.708
22/05/22 06:19:01,%RH,96.673
22/05/22 06:49:01,%RH,98.223
22/05/22 07:19:01,%RH,97.708
22/05/22 07:49:01,%RH,97.708
22/05/22 08:19:01,%RH,97.708
22/05/22 08:49:01,%RH,98.737
22/05/22 09:19:01,%RH,98.737
22/05/22 09:49:01,%RH,100.271
22/05/22 10:19:01,%RH,101.286
22/05/22 10:49:01,%RH,100.779
22/05/22 11:19:01,%RH,100.271
22/05/22 11:49:01,%RH,100.779
22/05/22 12:19:01,%RH,100.779
22/05/22 12:49:01,%RH,101.286
22/05/22 13:19:01,%RH,100.779
22/05/22 13:49:01,%RH,100.271
22/05/22 14:19:01,%RH,100.779
22/05/22 14:49:01,%RH,101.286
22/05/22 15:19:01,%RH,101.286
22/05/22 15:49:01,%RH,101.286
22/05/22 16:19:01,%RH,101.791
22/05/22 16:49:01,%RH,100.779
22/05/22 17:19:01,%RH,100.271
22/05/22 17:49:01,%RH,98.223
22/05/22 18:19:01,%RH,96.153
22/05/22 18:49:01,%RH,94.059
22/05/22 19:19:01,%RH,94.059
22/05/22 19:49:01,%RH,97.191
22/05/22 20:19:01,%RH,97.191
22/05/22 20:49:01,%RH,97.191
22/05/22 21:19:01,%RH,98.737
22/05/22 21:49:01,%RH,98.737
22/05/22 22:19:01,%RH,98.223
22/05/22 22:49:01,%RH,97.191
22/05/22 23:19:01,%RH,98.737
22/05/22 23:49:01,%RH,99.25
23/05/22 00:19:01,%RH,100.779
23/05/22 00:49:01,%RH,101.286
23/05/22 01:19:01,%RH,101.286
23/05/22 01:49:01,%RH,101.286
23/05/22 02:19:01,%RH,102.295
23/05/22 02:49:01,%RH,101.791
23/05/22 03:19:01,%RH,102.295
23/05/22 03:49:01,%RH,102.295
23/05/22 04:19:01,%RH,102.797
23/05/22 04:49:01,%RH,102.797
23/05/22 05:19:01,%RH,103.798
23/05/22 05:49:01,%RH,102.797
