1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E50000007D93F841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 16 23:59:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Jun 06 02:59:01 BST 2023
Total Mission Samples:  5062
Total Device Samples:  22666
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
15/06/2023, 02:59:01,C,15.057
15/06/2023, 03:29:01,C,15.558
15/06/2023, 03:59:01,C,16.058
15/06/2023, 04:29:01,C,15.558
15/06/2023, 04:59:01,C,15.057
15/06/2023, 05:29:01,C,15.057
15/06/2023, 05:59:01,C,16.058
15/06/2023, 06:29:01,C,17.06
15/06/2023, 06:59:01,C,17.56
15/06/2023, 07:29:01,C,18.561
15/06/2023, 07:59:01,C,19.562
15/06/2023, 08:29:01,C,20.062
15/06/2023, 08:59:01,C,20.563
15/06/2023, 09:29:01,C,21.063
15/06/2023, 09:59:01,C,22.064
15/06/2023, 10:29:01,C,23.064
15/06/2023, 10:59:01,C,23.064
15/06/2023, 11:29:01,C,24.064
15/06/2023, 11:59:01,C,24.064
15/06/2023, 12:29:01,C,25.064
15/06/2023, 12:59:01,C,24.564
15/06/2023, 13:29:01,C,25.064
15/06/2023, 13:59:01,C,24.064
15/06/2023, 14:29:01,C,25.064
15/06/2023, 14:59:01,C,25.064
15/06/2023, 15:29:01,C,24.564
15/06/2023, 15:59:01,C,25.064
15/06/2023, 16:29:01,C,24.564
15/06/2023, 16:59:01,C,23.564
15/06/2023, 17:29:01,C,23.564
15/06/2023, 17:59:01,C,23.064
15/06/2023, 18:29:01,C,22.064
15/06/2023, 18:59:01,C,21.063
15/06/2023, 19:29:01,C,20.563
15/06/2023, 19:59:01,C,21.063
15/06/2023, 20:29:01,C,20.062
15/06/2023, 20:59:01,C,19.062
15/06/2023, 21:29:01,C,20.062
15/06/2023, 21:59:01,C,19.562
15/06/2023, 22:29:01,C,19.562
15/06/2023, 22:59:01,C,19.062
15/06/2023, 23:29:01,C,19.062
15/06/2023, 23:59:01,C,18.561
16/06/2023, 00:29:01,C,18.061
16/06/2023, 00:59:01,C,17.06
16/06/2023, 01:29:01,C,17.06
