1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B70000007F047B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 16 23:59:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 05 05:29:01 BST 2023
Total Mission Samples:  5019
Total Device Samples:  16673
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
08/06/2023, 04:59:01,C,7.531
08/06/2023, 05:29:01,C,7.531
08/06/2023, 05:59:01,C,8.032
08/06/2023, 06:29:01,C,8.533
08/06/2023, 06:59:01,C,9.034
08/06/2023, 07:29:01,C,10.036
08/06/2023, 07:59:01,C,11.038
08/06/2023, 08:29:01,C,12.039
08/06/2023, 08:59:01,C,13.041
08/06/2023, 09:29:01,C,13.542
08/06/2023, 09:59:01,C,13.542
08/06/2023, 10:29:01,C,14.543
08/06/2023, 10:59:01,C,15.044
08/06/2023, 11:29:01,C,15.544
08/06/2023, 11:59:01,C,16.045
08/06/2023, 12:29:01,C,17.046
08/06/2023, 12:59:01,C,18.548
08/06/2023, 13:29:01,C,18.047
08/06/2023, 13:59:01,C,19.048
08/06/2023, 14:29:01,C,19.048
08/06/2023, 14:59:01,C,19.048
08/06/2023, 15:29:01,C,18.047
08/06/2023, 15:59:01,C,19.048
08/06/2023, 16:29:01,C,18.548
08/06/2023, 16:59:01,C,18.548
08/06/2023, 17:29:01,C,18.047
08/06/2023, 17:59:01,C,17.547
08/06/2023, 18:29:01,C,17.046
08/06/2023, 18:59:01,C,16.045
08/06/2023, 19:29:01,C,15.544
08/06/2023, 19:59:01,C,14.543
08/06/2023, 20:29:01,C,13.542
08/06/2023, 20:59:01,C,13.041
08/06/2023, 21:29:01,C,12.54
08/06/2023, 21:59:01,C,11.038
08/06/2023, 22:29:01,C,10.537
08/06/2023, 22:59:01,C,10.537
08/06/2023, 23:29:01,C,10.036
08/06/2023, 23:59:01,C,9.535
09/06/2023, 00:29:01,C,9.535
09/06/2023, 00:59:01,C,9.535
09/06/2023, 01:29:01,C,9.535
09/06/2023, 01:59:01,C,9.535
09/06/2023, 02:29:01,C,8.533
09/06/2023, 02:59:01,C,8.533
09/06/2023, 03:29:01,C,8.533
09/06/2023, 03:59:01,C,8.533
09/06/2023, 04:29:01,C,8.533
09/06/2023, 04:59:01,C,9.034
09/06/2023, 05:29:01,C,9.535
09/06/2023, 05:59:01,C,9.535
09/06/2023, 06:29:01,C,10.036
09/06/2023, 06:59:01,C,10.036
09/06/2023, 07:29:01,C,12.54
09/06/2023, 07:59:01,C,14.543
09/06/2023, 08:29:01,C,15.044
09/06/2023, 08:59:01,C,15.544
09/06/2023, 09:29:01,C,15.544
09/06/2023, 09:59:01,C,17.046
09/06/2023, 10:29:01,C,18.047
