1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E50000007D93F841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu May 19 08:48:01 BST 2022
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jul 03 01:48:01 BST 2022
Total Mission Samples:  6242
Total Device Samples:  16402
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
03/07/22 01:48:01,C,12.052
03/07/22 02:18:01,C,12.052
03/07/22 02:48:01,C,12.553
03/07/22 03:18:01,C,12.553
03/07/22 03:48:01,C,12.052
03/07/22 04:18:01,C,12.052
03/07/22 04:48:01,C,12.052
03/07/22 05:18:01,C,11.551
03/07/22 05:48:01,C,11.551
03/07/22 06:18:01,C,12.052
03/07/22 06:48:01,C,12.052
03/07/22 07:18:01,C,12.052
03/07/22 07:48:01,C,12.052
03/07/22 08:18:01,C,12.553
03/07/22 08:48:01,C,12.553
03/07/22 09:18:01,C,13.054
03/07/22 09:48:01,C,12.553
03/07/22 10:18:01,C,13.054
03/07/22 10:48:01,C,13.555
03/07/22 11:18:01,C,13.555
03/07/22 11:48:01,C,14.055
03/07/22 12:18:01,C,14.055
03/07/22 12:48:01,C,14.556
03/07/22 13:18:01,C,14.556
03/07/22 13:48:01,C,15.558
03/07/22 14:18:01,C,15.558
03/07/22 14:48:01,C,15.057
03/07/22 15:18:01,C,15.558
03/07/22 15:48:01,C,15.057
03/07/22 16:18:01,C,15.057
03/07/22 16:48:01,C,14.556
03/07/22 17:18:01,C,13.555
03/07/22 17:48:01,C,14.055
03/07/22 18:18:01,C,13.555
03/07/22 18:48:01,C,13.555
03/07/22 19:18:01,C,13.054
03/07/22 19:48:01,C,13.054
03/07/22 20:18:01,C,13.054
03/07/22 20:48:01,C,13.054
03/07/22 21:18:01,C,13.054
03/07/22 21:48:01,C,12.553
03/07/22 22:18:01,C,12.553
03/07/22 22:48:01,C,12.553
03/07/22 23:18:01,C,12.553
03/07/22 23:48:01,C,12.553
04/07/22 00:18:01,C,12.553
04/07/22 00:48:01,C,12.052
04/07/22 01:18:01,C,12.052
04/07/22 01:48:01,C,12.052
04/07/22 02:18:01,C,11.551
04/07/22 02:48:01,C,11.551
04/07/22 03:18:01,C,11.05
04/07/22 03:48:01,C,11.05
04/07/22 04:18:01,C,11.05
04/07/22 04:48:01,C,11.05
04/07/22 05:18:01,C,11.05
04/07/22 05:48:01,C,11.05
04/07/22 06:18:01,C,11.05
04/07/22 06:48:01,C,10.549
04/07/22 07:18:01,C,11.05
04/07/22 07:48:01,C,11.05
04/07/22 08:18:01,C,11.05
04/07/22 08:48:01,C,11.551
04/07/22 09:18:01,C,11.551
04/07/22 09:48:01,C,11.05
04/07/22 10:18:01,C,12.052
04/07/22 10:48:01,C,13.054
04/07/22 11:18:01,C,13.054
04/07/22 11:48:01,C,13.054
04/07/22 12:18:01,C,13.555
04/07/22 12:48:01,C,13.555
04/07/22 13:18:01,C,12.553
04/07/22 13:48:01,C,14.055
04/07/22 14:18:01,C,15.057
04/07/22 14:48:01,C,13.555
04/07/22 15:18:01,C,14.055
04/07/22 15:48:01,C,14.055
04/07/22 16:18:01,C,13.555
04/07/22 16:48:01,C,14.055
04/07/22 17:18:01,C,14.055
04/07/22 17:48:01,C,13.555
04/07/22 18:18:01,C,13.555
04/07/22 18:48:01,C,13.555
04/07/22 19:18:01,C,13.054
04/07/22 19:48:01,C,12.553
04/07/22 20:18:01,C,12.553
04/07/22 20:48:01,C,12.052
04/07/22 21:18:01,C,12.052
04/07/22 21:48:01,C,12.052
04/07/22 22:18:01,C,12.052
04/07/22 22:48:01,C,11.551
04/07/22 23:18:01,C,11.05
04/07/22 23:48:01,C,11.05
05/07/22 00:18:01,C,11.05
05/07/22 00:48:01,C,10.549
05/07/22 01:18:01,C,10.048
05/07/22 01:48:01,C,10.048
05/07/22 02:18:01,C,10.048
05/07/22 02:48:01,C,10.048
05/07/22 03:18:01,C,10.549
05/07/22 03:48:01,C,10.048
05/07/22 04:18:01,C,10.048
05/07/22 04:48:01,C,9.547
05/07/22 05:18:01,C,9.547
05/07/22 05:48:01,C,9.547
05/07/22 06:18:01,C,10.048
05/07/22 06:48:01,C,10.549
05/07/22 07:18:01,C,11.05
05/07/22 07:48:01,C,11.05
05/07/22 08:18:01,C,11.551
05/07/22 08:48:01,C,11.551
05/07/22 09:18:01,C,11.551
05/07/22 09:48:01,C,12.052
05/07/22 10:18:01,C,13.054
05/07/22 10:48:01,C,12.553
05/07/22 11:18:01,C,15.057
05/07/22 11:48:01,C,15.558
05/07/22 12:18:01,C,14.556
05/07/22 12:48:01,C,16.559
05/07/22 13:18:01,C,16.058
05/07/22 13:48:01,C,15.057
05/07/22 14:18:01,C,16.559
05/07/22 14:48:01,C,16.058
05/07/22 15:18:01,C,16.559
05/07/22 15:48:01,C,15.558
05/07/22 16:18:01,C,15.558
05/07/22 16:48:01,C,15.057
05/07/22 17:18:01,C,15.057
05/07/22 17:48:01,C,15.057
05/07/22 18:18:01,C,14.055
05/07/22 18:48:01,C,14.055
05/07/22 19:18:01,C,13.555
05/07/22 19:48:01,C,13.555
05/07/22 20:18:01,C,13.054
05/07/22 20:48:01,C,13.054
05/07/22 21:18:01,C,12.553
05/07/22 21:48:01,C,12.553
05/07/22 22:18:01,C,12.553
05/07/22 22:48:01,C,12.553
05/07/22 23:18:01,C,12.052
05/07/22 23:48:01,C,12.052
06/07/22 00:18:01,C,12.052
06/07/22 00:48:01,C,12.052
06/07/22 01:18:01,C,12.052
06/07/22 01:48:01,C,12.553
06/07/22 02:18:01,C,12.553
06/07/22 02:48:01,C,12.553
06/07/22 03:18:01,C,13.054
06/07/22 03:48:01,C,13.054
06/07/22 04:18:01,C,13.054
06/07/22 04:48:01,C,13.555
06/07/22 05:18:01,C,13.555
06/07/22 05:48:01,C,13.555
06/07/22 06:18:01,C,13.555
06/07/22 06:48:01,C,13.555
06/07/22 07:18:01,C,13.555
06/07/22 07:48:01,C,13.555
06/07/22 08:18:01,C,13.555
06/07/22 08:48:01,C,13.555
06/07/22 09:18:01,C,13.555
06/07/22 09:48:01,C,13.555
06/07/22 10:18:01,C,13.555
06/07/22 10:48:01,C,13.555
06/07/22 11:18:01,C,13.555
06/07/22 11:48:01,C,13.555
06/07/22 12:18:01,C,13.555
06/07/22 12:48:01,C,14.055
06/07/22 13:18:01,C,14.055
06/07/22 13:48:01,C,14.055
06/07/22 14:18:01,C,14.055
06/07/22 14:48:01,C,14.556
06/07/22 15:18:01,C,14.556
06/07/22 15:48:01,C,14.556
06/07/22 16:18:01,C,14.556
06/07/22 16:48:01,C,14.556
06/07/22 17:18:01,C,14.556
06/07/22 17:48:01,C,14.556
06/07/22 18:18:01,C,14.556
06/07/22 18:48:01,C,14.556
06/07/22 19:18:01,C,14.556
06/07/22 19:48:01,C,14.556
06/07/22 20:18:01,C,14.055
06/07/22 20:48:01,C,13.555
06/07/22 21:18:01,C,13.054
06/07/22 21:48:01,C,12.553
06/07/22 22:18:01,C,12.553
06/07/22 22:48:01,C,12.553
06/07/22 23:18:01,C,12.553
06/07/22 23:48:01,C,12.553
07/07/22 00:18:01,C,12.553
07/07/22 00:48:01,C,12.052
07/07/22 01:18:01,C,12.052
07/07/22 01:48:01,C,12.052
07/07/22 02:18:01,C,12.052
07/07/22 02:48:01,C,12.052
07/07/22 03:18:01,C,12.052
07/07/22 03:48:01,C,12.052
07/07/22 04:18:01,C,12.052
07/07/22 04:48:01,C,12.052
07/07/22 05:18:01,C,12.052
07/07/22 05:48:01,C,12.052
07/07/22 06:18:01,C,12.052
07/07/22 06:48:01,C,12.553
07/07/22 07:18:01,C,12.553
07/07/22 07:48:01,C,13.054
07/07/22 08:18:01,C,13.054
07/07/22 08:48:01,C,14.055
07/07/22 09:18:01,C,17.06
07/07/22 09:48:01,C,15.057
07/07/22 10:18:01,C,16.058
07/07/22 10:48:01,C,17.56
07/07/22 11:18:01,C,16.058
07/07/22 11:48:01,C,18.061
07/07/22 12:18:01,C,18.561
07/07/22 12:48:01,C,17.56
07/07/22 13:18:01,C,19.062
07/07/22 13:48:01,C,18.061
07/07/22 14:18:01,C,16.559
07/07/22 14:48:01,C,17.56
07/07/22 15:18:01,C,17.56
07/07/22 15:48:01,C,17.56
07/07/22 16:18:01,C,18.061
07/07/22 16:48:01,C,17.56
07/07/22 17:18:01,C,17.56
07/07/22 17:48:01,C,16.559
07/07/22 18:18:01,C,17.06
07/07/22 18:48:01,C,17.06
07/07/22 19:18:01,C,16.559
07/07/22 19:48:01,C,16.058
07/07/22 20:18:01,C,15.558
07/07/22 20:48:01,C,15.057
07/07/22 21:18:01,C,14.556
07/07/22 21:48:01,C,14.556
07/07/22 22:18:01,C,14.055
07/07/22 22:48:01,C,14.055
07/07/22 23:18:01,C,13.555
07/07/22 23:48:01,C,13.054
08/07/22 00:18:01,C,13.054
08/07/22 00:48:01,C,13.054
08/07/22 01:18:01,C,13.054
08/07/22 01:48:01,C,13.054
08/07/22 02:18:01,C,12.553
08/07/22 02:48:01,C,12.052
08/07/22 03:18:01,C,11.551
08/07/22 03:48:01,C,11.551
08/07/22 04:18:01,C,12.052
08/07/22 04:48:01,C,11.551
08/07/22 05:18:01,C,12.052
08/07/22 05:48:01,C,12.052
08/07/22 06:18:01,C,12.553
08/07/22 06:48:01,C,13.054
08/07/22 07:18:01,C,13.054
08/07/22 07:48:01,C,13.054
08/07/22 08:18:01,C,13.555
08/07/22 08:48:01,C,14.055
08/07/22 09:18:01,C,15.057
08/07/22 09:48:01,C,16.058
08/07/22 10:18:01,C,16.559
08/07/22 10:48:01,C,16.058
08/07/22 11:18:01,C,17.06
08/07/22 11:48:01,C,17.56
08/07/22 12:18:01,C,16.559
08/07/22 12:48:01,C,18.561
08/07/22 13:18:01,C,16.559
08/07/22 13:48:01,C,16.559
08/07/22 14:18:01,C,15.558
08/07/22 14:48:01,C,15.057
08/07/22 15:18:01,C,15.057
08/07/22 15:48:01,C,15.057
08/07/22 16:18:01,C,15.558
08/07/22 16:48:01,C,15.558
08/07/22 17:18:01,C,16.058
08/07/22 17:48:01,C,15.558
08/07/22 18:18:01,C,15.558
08/07/22 18:48:01,C,15.057
08/07/22 19:18:01,C,15.057
08/07/22 19:48:01,C,14.556
08/07/22 20:18:01,C,14.556
08/07/22 20:48:01,C,14.556
08/07/22 21:18:01,C,14.055
08/07/22 21:48:01,C,14.055
08/07/22 22:18:01,C,14.055
08/07/22 22:48:01,C,14.055
08/07/22 23:18:01,C,14.055
08/07/22 23:48:01,C,13.555
09/07/22 00:18:01,C,13.555
09/07/22 00:48:01,C,13.555
09/07/22 01:18:01,C,13.555
09/07/22 01:48:01,C,13.054
09/07/22 02:18:01,C,13.054
09/07/22 02:48:01,C,13.054
09/07/22 03:18:01,C,12.553
09/07/22 03:48:01,C,12.553
09/07/22 04:18:01,C,12.052
09/07/22 04:48:01,C,12.052
09/07/22 05:18:01,C,11.551
09/07/22 05:48:01,C,11.551
09/07/22 06:18:01,C,11.05
09/07/22 06:48:01,C,11.551
09/07/22 07:18:01,C,12.052
09/07/22 07:48:01,C,13.054
09/07/22 08:18:01,C,14.556
09/07/22 08:48:01,C,15.558
09/07/22 09:18:01,C,16.559
09/07/22 09:48:01,C,16.559
09/07/22 10:18:01,C,16.058
09/07/22 10:48:01,C,16.559
09/07/22 11:18:01,C,16.559
09/07/22 11:48:01,C,17.56
09/07/22 12:18:01,C,18.061
09/07/22 12:48:01,C,18.061
09/07/22 13:18:01,C,18.561
09/07/22 13:48:01,C,19.062
09/07/22 14:18:01,C,19.062
09/07/22 14:48:01,C,17.56
09/07/22 15:18:01,C,18.061
09/07/22 15:48:01,C,18.061
09/07/22 16:18:01,C,17.56
09/07/22 16:48:01,C,17.56
09/07/22 17:18:01,C,17.06
09/07/22 17:48:01,C,17.06
09/07/22 18:18:01,C,16.559
09/07/22 18:48:01,C,16.058
09/07/22 19:18:01,C,15.558
09/07/22 19:48:01,C,15.057
09/07/22 20:18:01,C,15.558
09/07/22 20:48:01,C,15.057
09/07/22 21:18:01,C,14.556
09/07/22 21:48:01,C,14.055
09/07/22 22:18:01,C,14.055
09/07/22 22:48:01,C,13.054
09/07/22 23:18:01,C,12.553
09/07/22 23:48:01,C,12.052
10/07/22 00:18:01,C,11.551
10/07/22 00:48:01,C,11.05
10/07/22 01:18:01,C,11.05
10/07/22 01:48:01,C,11.05
10/07/22 02:18:01,C,10.549
10/07/22 02:48:01,C,10.549
10/07/22 03:18:01,C,10.048
10/07/22 03:48:01,C,9.547
10/07/22 04:18:01,C,9.547
10/07/22 04:48:01,C,9.547
10/07/22 05:18:01,C,9.046
10/07/22 05:48:01,C,9.046
10/07/22 06:18:01,C,10.549
10/07/22 06:48:01,C,11.551
10/07/22 07:18:01,C,14.055
10/07/22 07:48:01,C,15.558
10/07/22 08:18:01,C,17.56
10/07/22 08:48:01,C,18.561
10/07/22 09:18:01,C,20.062
10/07/22 09:48:01,C,19.562
10/07/22 10:18:01,C,20.062
10/07/22 10:48:01,C,21.063
10/07/22 11:18:01,C,22.064
10/07/22 11:48:01,C,21.563
10/07/22 12:18:01,C,21.563
10/07/22 12:48:01,C,22.564
10/07/22 13:18:01,C,22.564
10/07/22 13:48:01,C,22.064
10/07/22 14:18:01,C,21.563
10/07/22 14:48:01,C,21.063
10/07/22 15:18:01,C,21.063
10/07/22 15:48:01,C,21.063
10/07/22 16:18:01,C,20.563
10/07/22 16:48:01,C,20.062
10/07/22 17:18:01,C,19.562
10/07/22 17:48:01,C,19.062
10/07/22 18:18:01,C,18.561
10/07/22 18:48:01,C,18.061
10/07/22 19:18:01,C,17.56
10/07/22 19:48:01,C,17.06
10/07/22 20:18:01,C,16.559
10/07/22 20:48:01,C,16.058
10/07/22 21:18:01,C,15.057
10/07/22 21:48:01,C,15.057
10/07/22 22:18:01,C,14.055
10/07/22 22:48:01,C,14.055
10/07/22 23:18:01,C,13.054
10/07/22 23:48:01,C,13.054
11/07/22 00:18:01,C,13.054
11/07/22 00:48:01,C,13.054
11/07/22 01:18:01,C,12.553
11/07/22 01:48:01,C,12.052
11/07/22 02:18:01,C,11.551
11/07/22 02:48:01,C,11.551
11/07/22 03:18:01,C,11.05
11/07/22 03:48:01,C,10.549
11/07/22 04:18:01,C,10.549
11/07/22 04:48:01,C,10.048
11/07/22 05:18:01,C,10.048
11/07/22 05:48:01,C,10.549
11/07/22 06:18:01,C,11.551
11/07/22 06:48:01,C,12.052
11/07/22 07:18:01,C,13.555
11/07/22 07:48:01,C,16.058
11/07/22 08:18:01,C,17.56
11/07/22 08:48:01,C,18.561
11/07/22 09:18:01,C,20.062
11/07/22 09:48:01,C,20.062
11/07/22 10:18:01,C,20.563
11/07/22 10:48:01,C,21.563
11/07/22 11:18:01,C,22.064
11/07/22 11:48:01,C,21.563
11/07/22 12:18:01,C,21.063
11/07/22 12:48:01,C,21.063
11/07/22 13:18:01,C,21.063
11/07/22 13:48:01,C,22.064
11/07/22 14:18:01,C,22.564
11/07/22 14:48:01,C,22.064
11/07/22 15:18:01,C,22.064
11/07/22 15:48:01,C,21.063
11/07/22 16:18:01,C,21.563
11/07/22 16:48:01,C,21.063
11/07/22 17:18:01,C,20.563
11/07/22 17:48:01,C,20.563
11/07/22 18:18:01,C,20.062
11/07/22 18:48:01,C,20.563
11/07/22 19:18:01,C,19.562
11/07/22 19:48:01,C,19.062
11/07/22 20:18:01,C,19.062
11/07/22 20:48:01,C,18.561
11/07/22 21:18:01,C,18.061
11/07/22 21:48:01,C,17.56
11/07/22 22:18:01,C,17.56
11/07/22 22:48:01,C,17.06
11/07/22 23:18:01,C,16.559
11/07/22 23:48:01,C,16.058
12/07/22 00:18:01,C,16.058
12/07/22 00:48:01,C,15.558
12/07/22 01:18:01,C,16.058
12/07/22 01:48:01,C,15.558
12/07/22 02:18:01,C,15.558
12/07/22 02:48:01,C,15.558
12/07/22 03:18:01,C,15.558
12/07/22 03:48:01,C,15.558
12/07/22 04:18:01,C,15.057
12/07/22 04:48:01,C,15.057
12/07/22 05:18:01,C,15.057
12/07/22 05:48:01,C,15.057
12/07/22 06:18:01,C,15.558
12/07/22 06:48:01,C,15.558
12/07/22 07:18:01,C,16.058
12/07/22 07:48:01,C,16.559
12/07/22 08:18:01,C,16.559
12/07/22 08:48:01,C,16.559
12/07/22 09:18:01,C,17.06
12/07/22 09:48:01,C,17.56
12/07/22 10:18:01,C,17.56
12/07/22 10:48:01,C,18.061
12/07/22 11:18:01,C,18.561
12/07/22 11:48:01,C,19.062
12/07/22 12:18:01,C,19.062
12/07/22 12:48:01,C,19.562
12/07/22 13:18:01,C,20.563
12/07/22 13:48:01,C,20.563
12/07/22 14:18:01,C,20.563
12/07/22 14:48:01,C,21.063
12/07/22 15:18:01,C,20.563
12/07/22 15:48:01,C,20.062
12/07/22 16:18:01,C,20.563
12/07/22 16:48:01,C,20.062
12/07/22 17:18:01,C,19.062
12/07/22 17:48:01,C,18.561
12/07/22 18:18:01,C,18.061
12/07/22 18:48:01,C,18.061
12/07/22 19:18:01,C,17.56
12/07/22 19:48:01,C,17.06
12/07/22 20:18:01,C,16.559
12/07/22 20:48:01,C,16.559
12/07/22 21:18:01,C,16.058
12/07/22 21:48:01,C,15.057
12/07/22 22:18:01,C,15.057
12/07/22 22:48:01,C,14.556
12/07/22 23:18:01,C,15.057
12/07/22 23:48:01,C,15.558
13/07/22 00:18:01,C,15.057
13/07/22 00:48:01,C,14.556
13/07/22 01:18:01,C,14.556
13/07/22 01:48:01,C,14.055
13/07/22 02:18:01,C,13.555
13/07/22 02:48:01,C,13.054
13/07/22 03:18:01,C,12.553
13/07/22 03:48:01,C,12.052
13/07/22 04:18:01,C,11.551
13/07/22 04:48:01,C,11.551
13/07/22 05:18:01,C,11.05
13/07/22 05:48:01,C,11.551
13/07/22 06:18:01,C,11.551
13/07/22 06:48:01,C,11.551
13/07/22 07:18:01,C,12.052
13/07/22 07:48:01,C,12.553
13/07/22 08:18:01,C,13.054
13/07/22 08:48:01,C,13.054
13/07/22 09:18:01,C,14.055
13/07/22 09:48:01,C,14.556
13/07/22 10:18:01,C,14.556
13/07/22 10:48:01,C,14.055
13/07/22 11:18:01,C,16.058
13/07/22 11:48:01,C,16.058
13/07/22 12:18:01,C,16.058
13/07/22 12:48:01,C,17.06
13/07/22 13:18:01,C,17.56
13/07/22 13:48:01,C,17.56
13/07/22 14:18:01,C,16.559
13/07/22 14:48:01,C,16.559
13/07/22 15:18:01,C,16.559
13/07/22 15:48:01,C,17.06
13/07/22 16:18:01,C,16.058
13/07/22 16:48:01,C,16.559
13/07/22 17:18:01,C,16.559
13/07/22 17:48:01,C,15.558
13/07/22 18:18:01,C,15.558
13/07/22 18:48:01,C,15.057
13/07/22 19:18:01,C,15.057
13/07/22 19:48:01,C,14.055
13/07/22 20:18:01,C,14.055
13/07/22 20:48:01,C,13.555
13/07/22 21:18:01,C,13.555
13/07/22 21:48:01,C,13.555
13/07/22 22:18:01,C,13.555
13/07/22 22:48:01,C,13.555
13/07/22 23:18:01,C,13.555
13/07/22 23:48:01,C,13.555
14/07/22 00:18:01,C,13.555
14/07/22 00:48:01,C,13.054
14/07/22 01:18:01,C,13.054
14/07/22 01:48:01,C,12.553
14/07/22 02:18:01,C,12.553
14/07/22 02:48:01,C,12.553
14/07/22 03:18:01,C,12.553
14/07/22 03:48:01,C,12.052
14/07/22 04:18:01,C,12.052
14/07/22 04:48:01,C,12.052
14/07/22 05:18:01,C,11.551
14/07/22 05:48:01,C,11.551
14/07/22 06:18:01,C,11.551
14/07/22 06:48:01,C,12.052
14/07/22 07:18:01,C,12.052
14/07/22 07:48:01,C,12.553
14/07/22 08:18:01,C,12.553
14/07/22 08:48:01,C,15.057
14/07/22 09:18:01,C,14.556
14/07/22 09:48:01,C,13.555
14/07/22 10:18:01,C,14.556
14/07/22 10:48:01,C,15.057
14/07/22 11:18:01,C,14.055
14/07/22 11:48:01,C,16.559
14/07/22 12:18:01,C,15.057
14/07/22 12:48:01,C,17.06
14/07/22 13:18:01,C,14.556
14/07/22 13:48:01,C,14.556
14/07/22 14:18:01,C,15.057
14/07/22 14:48:01,C,14.055
14/07/22 15:18:01,C,14.055
14/07/22 15:48:01,C,15.558
14/07/22 16:18:01,C,16.058
14/07/22 16:48:01,C,16.058
14/07/22 17:18:01,C,16.058
14/07/22 17:48:01,C,15.558
14/07/22 18:18:01,C,15.558
14/07/22 18:48:01,C,15.057
14/07/22 19:18:01,C,15.057
14/07/22 19:48:01,C,14.055
14/07/22 20:18:01,C,13.555
14/07/22 20:48:01,C,13.054
14/07/22 21:18:01,C,13.054
14/07/22 21:48:01,C,12.553
14/07/22 22:18:01,C,12.553
14/07/22 22:48:01,C,12.553
14/07/22 23:18:01,C,11.551
14/07/22 23:48:01,C,12.052
15/07/22 00:18:01,C,12.052
15/07/22 00:48:01,C,12.052
15/07/22 01:18:01,C,12.052
15/07/22 01:48:01,C,12.052
15/07/22 02:18:01,C,12.052
15/07/22 02:48:01,C,12.052
15/07/22 03:18:01,C,12.052
15/07/22 03:48:01,C,12.553
15/07/22 04:18:01,C,12.553
15/07/22 04:48:01,C,12.553
15/07/22 05:18:01,C,13.054
15/07/22 05:48:01,C,13.054
15/07/22 06:18:01,C,13.054
15/07/22 06:48:01,C,13.054
15/07/22 07:18:01,C,13.555
15/07/22 07:48:01,C,13.555
15/07/22 08:18:01,C,13.054
15/07/22 08:48:01,C,13.555
15/07/22 09:18:01,C,13.555
15/07/22 09:48:01,C,13.555
15/07/22 10:18:01,C,13.555
15/07/22 10:48:01,C,14.055
15/07/22 11:18:01,C,14.556
15/07/22 11:48:01,C,14.556
15/07/22 12:18:01,C,14.556
15/07/22 12:48:01,C,14.055
15/07/22 13:18:01,C,14.556
15/07/22 13:48:01,C,14.556
15/07/22 14:18:01,C,14.556
15/07/22 14:48:01,C,15.057
15/07/22 15:18:01,C,15.057
15/07/22 15:48:01,C,15.558
15/07/22 16:18:01,C,16.058
15/07/22 16:48:01,C,15.558
15/07/22 17:18:01,C,15.558
15/07/22 17:48:01,C,15.057
15/07/22 18:18:01,C,14.556
15/07/22 18:48:01,C,14.055
15/07/22 19:18:01,C,13.555
15/07/22 19:48:01,C,13.555
15/07/22 20:18:01,C,13.555
15/07/22 20:48:01,C,12.553
15/07/22 21:18:01,C,12.553
15/07/22 21:48:01,C,12.052
15/07/22 22:18:01,C,11.551
15/07/22 22:48:01,C,11.05
15/07/22 23:18:01,C,11.05
15/07/22 23:48:01,C,10.549
16/07/22 00:18:01,C,9.547
16/07/22 00:48:01,C,9.547
16/07/22 01:18:01,C,8.544
16/07/22 01:48:01,C,9.046
16/07/22 02:18:01,C,8.544
16/07/22 02:48:01,C,8.544
16/07/22 03:18:01,C,8.544
16/07/22 03:48:01,C,8.043
16/07/22 04:18:01,C,8.043
16/07/22 04:48:01,C,8.043
16/07/22 05:18:01,C,7.542
16/07/22 05:48:01,C,7.542
16/07/22 06:18:01,C,7.542
16/07/22 06:48:01,C,9.547
16/07/22 07:18:01,C,10.549
16/07/22 07:48:01,C,12.553
16/07/22 08:18:01,C,15.057
16/07/22 08:48:01,C,15.057
16/07/22 09:18:01,C,14.055
16/07/22 09:48:01,C,14.556
16/07/22 10:18:01,C,14.055
16/07/22 10:48:01,C,14.556
16/07/22 11:18:01,C,16.559
16/07/22 11:48:01,C,17.06
16/07/22 12:18:01,C,17.56
16/07/22 12:48:01,C,17.56
16/07/22 13:18:01,C,18.061
16/07/22 13:48:01,C,18.561
16/07/22 14:18:01,C,19.062
16/07/22 14:48:01,C,18.561
16/07/22 15:18:01,C,18.561
16/07/22 15:48:01,C,18.561
16/07/22 16:18:01,C,18.561
16/07/22 16:48:01,C,17.56
16/07/22 17:18:01,C,17.56
16/07/22 17:48:01,C,17.06
16/07/22 18:18:01,C,17.56
16/07/22 18:48:01,C,16.559
16/07/22 19:18:01,C,16.559
16/07/22 19:48:01,C,16.058
16/07/22 20:18:01,C,16.058
16/07/22 20:48:01,C,16.058
16/07/22 21:18:01,C,14.556
16/07/22 21:48:01,C,14.055
16/07/22 22:18:01,C,13.555
16/07/22 22:48:01,C,13.054
16/07/22 23:18:01,C,13.555
16/07/22 23:48:01,C,13.555
17/07/22 00:18:01,C,13.555
17/07/22 00:48:01,C,14.055
17/07/22 01:18:01,C,13.555
17/07/22 01:48:01,C,13.555
17/07/22 02:18:01,C,13.054
17/07/22 02:48:01,C,12.553
17/07/22 03:18:01,C,13.054
17/07/22 03:48:01,C,13.054
17/07/22 04:18:01,C,13.054
17/07/22 04:48:01,C,13.054
17/07/22 05:18:01,C,13.054
17/07/22 05:48:01,C,13.555
17/07/22 06:18:01,C,13.555
17/07/22 06:48:01,C,14.055
17/07/22 07:18:01,C,14.556
17/07/22 07:48:01,C,15.057
17/07/22 08:18:01,C,15.057
17/07/22 08:48:01,C,15.558
17/07/22 09:18:01,C,16.058
17/07/22 09:48:01,C,16.559
17/07/22 10:18:01,C,17.06
17/07/22 10:48:01,C,18.061
17/07/22 11:18:01,C,19.062
17/07/22 11:48:01,C,20.062
17/07/22 12:18:01,C,19.562
17/07/22 12:48:01,C,20.563
17/07/22 13:18:01,C,21.063
17/07/22 13:48:01,C,23.064
17/07/22 14:18:01,C,22.564
17/07/22 14:48:01,C,22.564
17/07/22 15:18:01,C,22.564
17/07/22 15:48:01,C,22.564
17/07/22 16:18:01,C,22.064
17/07/22 16:48:01,C,22.064
17/07/22 17:18:01,C,22.064
17/07/22 17:48:01,C,21.563
17/07/22 18:18:01,C,21.063
17/07/22 18:48:01,C,20.563
17/07/22 19:18:01,C,20.062
17/07/22 19:48:01,C,20.062
17/07/22 20:18:01,C,19.562
17/07/22 20:48:01,C,18.561
17/07/22 21:18:01,C,18.061
17/07/22 21:48:01,C,17.56
17/07/22 22:18:01,C,17.56
17/07/22 22:48:01,C,17.56
17/07/22 23:18:01,C,17.06
17/07/22 23:48:01,C,16.559
18/07/22 00:18:01,C,16.559
18/07/22 00:48:01,C,16.559
18/07/22 01:18:01,C,16.058
18/07/22 01:48:01,C,16.058
18/07/22 02:18:01,C,15.558
18/07/22 02:48:01,C,16.559
18/07/22 03:18:01,C,16.559
18/07/22 03:48:01,C,15.558
18/07/22 04:18:01,C,14.556
18/07/22 04:48:01,C,14.055
18/07/22 05:18:01,C,14.055
18/07/22 05:48:01,C,14.556
18/07/22 06:18:01,C,15.057
18/07/22 06:48:01,C,16.058
18/07/22 07:18:01,C,17.56
18/07/22 07:48:01,C,18.061
18/07/22 08:18:01,C,20.563
18/07/22 08:48:01,C,20.563
18/07/22 09:18:01,C,22.564
18/07/22 09:48:01,C,22.064
18/07/22 10:18:01,C,23.064
18/07/22 10:48:01,C,24.064
18/07/22 11:18:01,C,25.064
18/07/22 11:48:01,C,25.564
18/07/22 12:18:01,C,24.564
18/07/22 12:48:01,C,25.564
18/07/22 13:18:01,C,25.564
18/07/22 13:48:01,C,26.064
18/07/22 14:18:01,C,26.064
18/07/22 14:48:01,C,26.064
18/07/22 15:18:01,C,25.064
18/07/22 15:48:01,C,25.564
18/07/22 16:18:01,C,25.064
18/07/22 16:48:01,C,24.564
18/07/22 17:18:01,C,24.564
18/07/22 17:48:01,C,24.064
18/07/22 18:18:01,C,23.064
18/07/22 18:48:01,C,22.064
18/07/22 19:18:01,C,21.563
18/07/22 19:48:01,C,21.563
18/07/22 20:18:01,C,21.063
18/07/22 20:48:01,C,20.062
