1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5D0000007D620041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Fri Apr 12 23:59:01 BST 2024
Mission Sample Count:  3626
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Apr 12 23:59:01 BST 2024
Total Mission Samples:  3626
Total Device Samples:  27000
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/04/2024, 23:59:01,C,9.557
13/04/2024, 00:29:01,C,9.056
13/04/2024, 00:59:01,C,9.056
13/04/2024, 01:29:01,C,9.557
13/04/2024, 01:59:01,C,9.557
13/04/2024, 02:29:01,C,9.557
13/04/2024, 02:59:01,C,9.557
13/04/2024, 03:29:01,C,9.557
13/04/2024, 03:59:01,C,9.557
13/04/2024, 04:29:01,C,9.557
13/04/2024, 04:59:01,C,9.557
13/04/2024, 05:29:01,C,9.557
13/04/2024, 05:59:01,C,9.056
13/04/2024, 06:29:01,C,9.056
13/04/2024, 06:59:01,C,9.056
13/04/2024, 07:29:01,C,9.557
13/04/2024, 07:59:01,C,9.557
13/04/2024, 08:29:01,C,9.557
13/04/2024, 08:59:01,C,9.557
13/04/2024, 09:29:01,C,10.058
13/04/2024, 09:59:01,C,10.058
13/04/2024, 10:29:01,C,10.559
13/04/2024, 10:59:01,C,10.559
13/04/2024, 11:29:01,C,10.058
13/04/2024, 11:59:01,C,10.058
13/04/2024, 12:29:01,C,10.058
13/04/2024, 12:59:01,C,10.559
13/04/2024, 13:29:01,C,10.559
13/04/2024, 13:59:01,C,10.559
13/04/2024, 14:29:01,C,10.058
13/04/2024, 14:59:01,C,9.557
13/04/2024, 15:29:01,C,9.557
13/04/2024, 15:59:01,C,10.058
13/04/2024, 16:29:01,C,9.557
13/04/2024, 16:59:01,C,9.056
13/04/2024, 17:29:01,C,9.056
13/04/2024, 17:59:01,C,8.555
13/04/2024, 18:29:01,C,8.053
13/04/2024, 18:59:01,C,7.552
13/04/2024, 19:29:01,C,7.051
13/04/2024, 19:59:01,C,6.549
13/04/2024, 20:29:01,C,6.549
13/04/2024, 20:59:01,C,7.051
13/04/2024, 21:29:01,C,6.549
13/04/2024, 21:59:01,C,5.547
13/04/2024, 22:29:01,C,6.048
13/04/2024, 22:59:01,C,6.048
13/04/2024, 23:29:01,C,6.549
13/04/2024, 23:59:01,C,6.048
14/04/2024, 00:29:01,C,5.547
14/04/2024, 00:59:01,C,6.048
14/04/2024, 01:29:01,C,5.547
14/04/2024, 01:59:01,C,6.549
14/04/2024, 02:29:01,C,6.549
14/04/2024, 02:59:01,C,6.549
14/04/2024, 03:29:01,C,6.549
14/04/2024, 03:59:01,C,6.549
14/04/2024, 04:29:01,C,6.549
14/04/2024, 04:59:01,C,6.549
14/04/2024, 05:29:01,C,6.549
14/04/2024, 05:59:01,C,6.549
14/04/2024, 06:29:01,C,6.549
14/04/2024, 06:59:01,C,6.549
14/04/2024, 07:29:01,C,6.549
14/04/2024, 07:59:01,C,7.051
14/04/2024, 08:29:01,C,7.552
14/04/2024, 08:59:01,C,7.552
14/04/2024, 09:29:01,C,8.053
