1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DC0000007D622141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu May 19 08:53:01 BST 2022
Mission Sample Count:  2450
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu May 19 08:53:01 BST 2022
Total Mission Samples:  2450
Total Device Samples:  11504
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
19/05/22 08:53:01,%RH,91.982
19/05/22 09:23:01,%RH,89.866
19/05/22 09:53:01,%RH,86.112
19/05/22 10:23:01,%RH,84.484
19/05/22 10:53:01,%RH,81.742
19/05/22 11:23:01,%RH,81.19
19/05/22 11:53:01,%RH,77.849
19/05/22 12:23:01,%RH,69.865
19/05/22 12:53:01,%RH,67.536
19/05/22 13:23:01,%RH,61.62
19/05/22 13:53:01,%RH,62.813
19/05/22 14:23:01,%RH,58.612
19/05/22 14:53:01,%RH,59.819
19/05/22 15:23:01,%RH,62.813
19/05/22 15:53:01,%RH,59.819
19/05/22 16:23:01,%RH,59.216
19/05/22 16:53:01,%RH,61.62
19/05/22 17:23:01,%RH,58.006
19/05/22 17:53:01,%RH,65.185
19/05/22 18:23:01,%RH,66.363
19/05/22 18:53:01,%RH,67.536
19/05/22 19:23:01,%RH,68.12
19/05/22 19:53:01,%RH,73.889
19/05/22 20:23:01,%RH,79.525
19/05/22 20:53:01,%RH,81.19
19/05/22 21:23:01,%RH,86.112
19/05/22 21:53:01,%RH,88.265
19/05/22 22:23:01,%RH,91.455
19/05/22 22:53:01,%RH,91.455
19/05/22 23:23:01,%RH,94.596
19/05/22 23:53:01,%RH,93.032
20/05/22 00:23:01,%RH,95.115
20/05/22 00:53:01,%RH,95.115
20/05/22 01:23:01,%RH,94.596
20/05/22 01:53:01,%RH,96.149
20/05/22 02:23:01,%RH,97.178
20/05/22 02:53:01,%RH,97.69
20/05/22 03:23:01,%RH,97.178
20/05/22 03:53:01,%RH,96.664
20/05/22 04:23:01,%RH,96.664
20/05/22 04:53:01,%RH,97.178
20/05/22 05:23:01,%RH,96.664
20/05/22 05:53:01,%RH,97.69
20/05/22 06:23:01,%RH,96.664
20/05/22 06:53:01,%RH,95.633
20/05/22 07:23:01,%RH,94.076
20/05/22 07:53:01,%RH,93.032
20/05/22 08:23:01,%RH,95.633
20/05/22 08:53:01,%RH,93.032
20/05/22 09:23:01,%RH,93.032
20/05/22 09:53:01,%RH,95.633
20/05/22 10:23:01,%RH,98.201
20/05/22 10:53:01,%RH,98.201
20/05/22 11:23:01,%RH,96.664
20/05/22 11:53:01,%RH,93.555
20/05/22 12:23:01,%RH,90.927
20/05/22 12:53:01,%RH,88.265
20/05/22 13:23:01,%RH,87.192
20/05/22 13:53:01,%RH,87.192
20/05/22 14:23:01,%RH,86.112
20/05/22 14:53:01,%RH,98.71
20/05/22 15:23:01,%RH,91.455
20/05/22 15:53:01,%RH,87.729
20/05/22 16:23:01,%RH,88.8
20/05/22 16:53:01,%RH,88.8
20/05/22 17:23:01,%RH,95.633
20/05/22 17:53:01,%RH,97.178
20/05/22 18:23:01,%RH,96.664
20/05/22 18:53:01,%RH,96.664
20/05/22 19:23:01,%RH,95.633
20/05/22 19:53:01,%RH,95.633
20/05/22 20:23:01,%RH,96.149
20/05/22 20:53:01,%RH,96.664
20/05/22 21:23:01,%RH,95.633
20/05/22 21:53:01,%RH,95.633
20/05/22 22:23:01,%RH,95.633
20/05/22 22:53:01,%RH,95.115
