1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 510000007D92D241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed May 17 00:00:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Jun 27 03:00:01 BST 2023
Total Mission Samples:  6070
Total Device Samples:  21693
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/09/2023, 18:30:01,C,13.067
13/09/2023, 19:00:01,C,13.067
13/09/2023, 19:30:01,C,12.567
13/09/2023, 20:00:01,C,12.066
13/09/2023, 20:30:01,C,12.066
13/09/2023, 21:00:01,C,12.066
13/09/2023, 21:30:01,C,12.567
13/09/2023, 22:00:01,C,12.066
13/09/2023, 22:30:01,C,12.066
13/09/2023, 23:00:01,C,12.567
13/09/2023, 23:30:01,C,11.565
14/09/2023, 00:00:01,C,11.064
14/09/2023, 00:30:01,C,11.064
14/09/2023, 01:00:01,C,12.066
14/09/2023, 01:30:01,C,13.067
14/09/2023, 02:00:01,C,13.568
14/09/2023, 02:30:01,C,13.568
14/09/2023, 03:00:01,C,14.069
14/09/2023, 03:30:01,C,14.069
14/09/2023, 04:00:01,C,13.568
14/09/2023, 04:30:01,C,14.069
14/09/2023, 05:00:01,C,13.568
14/09/2023, 05:30:01,C,13.568
14/09/2023, 06:00:01,C,13.568
14/09/2023, 06:30:01,C,13.067
14/09/2023, 07:00:01,C,13.067
14/09/2023, 07:30:01,C,12.066
14/09/2023, 08:00:01,C,12.567
14/09/2023, 08:30:01,C,13.067
14/09/2023, 09:00:01,C,13.568
14/09/2023, 09:30:01,C,13.568
14/09/2023, 10:00:01,C,13.568
14/09/2023, 10:30:01,C,14.57
14/09/2023, 11:00:01,C,14.57
14/09/2023, 11:30:01,C,15.071
14/09/2023, 12:00:01,C,16.072
14/09/2023, 12:30:01,C,16.072
14/09/2023, 13:00:01,C,16.072
14/09/2023, 13:30:01,C,18.074
14/09/2023, 14:00:01,C,16.072
14/09/2023, 14:30:01,C,16.573
14/09/2023, 15:00:01,C,16.573
14/09/2023, 15:30:01,C,16.573
14/09/2023, 16:00:01,C,16.072
14/09/2023, 16:30:01,C,16.072
14/09/2023, 17:00:01,C,15.571
14/09/2023, 17:30:01,C,15.571
14/09/2023, 18:00:01,C,15.071
14/09/2023, 18:30:01,C,14.57
14/09/2023, 19:00:01,C,13.568
14/09/2023, 19:30:01,C,12.567
14/09/2023, 20:00:01,C,12.066
14/09/2023, 20:30:01,C,12.066
14/09/2023, 21:00:01,C,12.066
14/09/2023, 21:30:01,C,11.565
14/09/2023, 22:00:01,C,11.565
14/09/2023, 22:30:01,C,11.565
14/09/2023, 23:00:01,C,11.565
14/09/2023, 23:30:01,C,11.565
15/09/2023, 00:00:01,C,11.565
15/09/2023, 00:30:01,C,11.565
15/09/2023, 01:00:01,C,11.565
15/09/2023, 01:30:01,C,11.565
15/09/2023, 02:00:01,C,11.565
15/09/2023, 02:30:01,C,10.563
15/09/2023, 03:00:01,C,10.563
15/09/2023, 03:30:01,C,10.563
15/09/2023, 04:00:01,C,10.563
15/09/2023, 04:30:01,C,10.563
15/09/2023, 05:00:01,C,10.563
15/09/2023, 05:30:01,C,10.563
15/09/2023, 06:00:01,C,11.064
15/09/2023, 06:30:01,C,11.064
15/09/2023, 07:00:01,C,11.064
15/09/2023, 07:30:01,C,11.565
15/09/2023, 08:00:01,C,11.565
15/09/2023, 08:30:01,C,12.066
15/09/2023, 09:00:01,C,12.066
15/09/2023, 09:30:01,C,12.567
15/09/2023, 10:00:01,C,12.567
15/09/2023, 10:30:01,C,13.067
15/09/2023, 11:00:01,C,14.069
15/09/2023, 11:30:01,C,14.57
15/09/2023, 12:00:01,C,14.069
15/09/2023, 12:30:01,C,14.57
15/09/2023, 13:00:01,C,14.57
15/09/2023, 13:30:01,C,14.57
15/09/2023, 14:00:01,C,15.571
15/09/2023, 14:30:01,C,16.573
15/09/2023, 15:00:01,C,16.072
15/09/2023, 15:30:01,C,16.072
15/09/2023, 16:00:01,C,16.072
15/09/2023, 16:30:01,C,15.571
15/09/2023, 17:00:01,C,15.071
15/09/2023, 17:30:01,C,15.071
15/09/2023, 18:00:01,C,15.071
15/09/2023, 18:30:01,C,15.071
15/09/2023, 19:00:01,C,14.57
15/09/2023, 19:30:01,C,14.57
15/09/2023, 20:00:01,C,14.57
15/09/2023, 20:30:01,C,14.57
15/09/2023, 21:00:01,C,14.069
15/09/2023, 21:30:01,C,14.069
15/09/2023, 22:00:01,C,14.069
15/09/2023, 22:30:01,C,14.069
15/09/2023, 23:00:01,C,14.069
15/09/2023, 23:30:01,C,14.069
16/09/2023, 00:00:01,C,14.069
16/09/2023, 00:30:01,C,13.568
16/09/2023, 01:00:01,C,13.067
16/09/2023, 01:30:01,C,13.067
16/09/2023, 02:00:01,C,12.567
16/09/2023, 02:30:01,C,12.567
16/09/2023, 03:00:01,C,12.567
16/09/2023, 03:30:01,C,12.567
16/09/2023, 04:00:01,C,12.066
16/09/2023, 04:30:01,C,12.066
16/09/2023, 05:00:01,C,12.066
16/09/2023, 05:30:01,C,12.066
16/09/2023, 06:00:01,C,11.565
16/09/2023, 06:30:01,C,11.565
16/09/2023, 07:00:01,C,12.066
16/09/2023, 07:30:01,C,12.066
16/09/2023, 08:00:01,C,12.567
16/09/2023, 08:30:01,C,12.567
16/09/2023, 09:00:01,C,13.067
16/09/2023, 09:30:01,C,13.568
16/09/2023, 10:00:01,C,13.568
16/09/2023, 10:30:01,C,14.069
16/09/2023, 11:00:01,C,14.57
16/09/2023, 11:30:01,C,14.57
16/09/2023, 12:00:01,C,15.071
16/09/2023, 12:30:01,C,15.571
16/09/2023, 13:00:01,C,15.571
16/09/2023, 13:30:01,C,16.573
16/09/2023, 14:00:01,C,17.073
16/09/2023, 14:30:01,C,17.073
16/09/2023, 15:00:01,C,17.073
16/09/2023, 15:30:01,C,17.073
16/09/2023, 16:00:01,C,16.072
16/09/2023, 16:30:01,C,15.571
16/09/2023, 17:00:01,C,15.071
16/09/2023, 17:30:01,C,14.57
16/09/2023, 18:00:01,C,14.069
16/09/2023, 18:30:01,C,14.069
16/09/2023, 19:00:01,C,13.568
16/09/2023, 19:30:01,C,13.067
16/09/2023, 20:00:01,C,12.567
16/09/2023, 20:30:01,C,13.067
16/09/2023, 21:00:01,C,13.067
16/09/2023, 21:30:01,C,13.067
16/09/2023, 22:00:01,C,12.567
16/09/2023, 22:30:01,C,12.567
16/09/2023, 23:00:01,C,12.066
16/09/2023, 23:30:01,C,13.067
17/09/2023, 00:00:01,C,13.568
17/09/2023, 00:30:01,C,13.568
17/09/2023, 01:00:01,C,13.568
17/09/2023, 01:30:01,C,13.568
17/09/2023, 02:00:01,C,13.568
17/09/2023, 02:30:01,C,13.568
17/09/2023, 03:00:01,C,13.568
17/09/2023, 03:30:01,C,13.568
17/09/2023, 04:00:01,C,13.568
17/09/2023, 04:30:01,C,14.069
17/09/2023, 05:00:01,C,14.069
17/09/2023, 05:30:01,C,14.069
17/09/2023, 06:00:01,C,14.069
17/09/2023, 06:30:01,C,14.069
17/09/2023, 07:00:01,C,13.568
17/09/2023, 07:30:01,C,13.568
17/09/2023, 08:00:01,C,14.069
17/09/2023, 08:30:01,C,14.57
17/09/2023, 09:00:01,C,14.57
17/09/2023, 09:30:01,C,14.57
17/09/2023, 10:00:01,C,14.069
17/09/2023, 10:30:01,C,15.071
17/09/2023, 11:00:01,C,15.071
17/09/2023, 11:30:01,C,15.071
17/09/2023, 12:00:01,C,15.571
17/09/2023, 12:30:01,C,16.072
17/09/2023, 13:00:01,C,16.072
17/09/2023, 13:30:01,C,17.073
17/09/2023, 14:00:01,C,17.574
17/09/2023, 14:30:01,C,17.574
17/09/2023, 15:00:01,C,17.574
17/09/2023, 15:30:01,C,17.574
17/09/2023, 16:00:01,C,17.574
17/09/2023, 16:30:01,C,17.073
17/09/2023, 17:00:01,C,17.574
17/09/2023, 17:30:01,C,17.073
17/09/2023, 18:00:01,C,17.073
17/09/2023, 18:30:01,C,16.573
17/09/2023, 19:00:01,C,16.072
17/09/2023, 19:30:01,C,16.072
17/09/2023, 20:00:01,C,15.571
17/09/2023, 20:30:01,C,16.072
17/09/2023, 21:00:01,C,15.571
17/09/2023, 21:30:01,C,15.571
17/09/2023, 22:00:01,C,15.071
17/09/2023, 22:30:01,C,15.071
17/09/2023, 23:00:01,C,15.071
17/09/2023, 23:30:01,C,14.57
18/09/2023, 00:00:01,C,14.57
18/09/2023, 00:30:01,C,14.57
18/09/2023, 01:00:01,C,14.57
18/09/2023, 01:30:01,C,14.57
18/09/2023, 02:00:01,C,15.071
18/09/2023, 02:30:01,C,15.071
18/09/2023, 03:00:01,C,15.071
18/09/2023, 03:30:01,C,15.571
18/09/2023, 04:00:01,C,15.571
18/09/2023, 04:30:01,C,15.571
18/09/2023, 05:00:01,C,15.571
18/09/2023, 05:30:01,C,15.071
18/09/2023, 06:00:01,C,15.071
18/09/2023, 06:30:01,C,15.071
18/09/2023, 07:00:01,C,15.071
18/09/2023, 07:30:01,C,14.57
18/09/2023, 08:00:01,C,14.57
18/09/2023, 08:30:01,C,14.069
18/09/2023, 09:00:01,C,13.568
18/09/2023, 09:30:01,C,12.567
18/09/2023, 10:00:01,C,11.565
18/09/2023, 10:30:01,C,11.565
18/09/2023, 11:00:01,C,12.567
18/09/2023, 11:30:01,C,12.567
18/09/2023, 12:00:01,C,12.567
18/09/2023, 12:30:01,C,12.567
18/09/2023, 13:00:01,C,14.069
18/09/2023, 13:30:01,C,14.069
18/09/2023, 14:00:01,C,14.57
18/09/2023, 14:30:01,C,13.568
18/09/2023, 15:00:01,C,13.568
18/09/2023, 15:30:01,C,13.568
18/09/2023, 16:00:01,C,13.568
18/09/2023, 16:30:01,C,12.066
18/09/2023, 17:00:01,C,10.563
18/09/2023, 17:30:01,C,10.062
18/09/2023, 18:00:01,C,9.561
18/09/2023, 18:30:01,C,10.062
18/09/2023, 19:00:01,C,10.062
18/09/2023, 19:30:01,C,10.062
18/09/2023, 20:00:01,C,9.561
18/09/2023, 20:30:01,C,9.059
18/09/2023, 21:00:01,C,8.558
18/09/2023, 21:30:01,C,8.558
18/09/2023, 22:00:01,C,9.059
18/09/2023, 22:30:01,C,9.059
18/09/2023, 23:00:01,C,9.059
18/09/2023, 23:30:01,C,9.059
19/09/2023, 00:00:01,C,9.059
19/09/2023, 00:30:01,C,9.561
19/09/2023, 01:00:01,C,10.062
19/09/2023, 01:30:01,C,10.062
19/09/2023, 02:00:01,C,10.563
19/09/2023, 02:30:01,C,10.563
19/09/2023, 03:00:01,C,10.563
19/09/2023, 03:30:01,C,10.563
19/09/2023, 04:00:01,C,10.062
19/09/2023, 04:30:01,C,9.059
19/09/2023, 05:00:01,C,9.059
19/09/2023, 05:30:01,C,9.059
19/09/2023, 06:00:01,C,8.558
19/09/2023, 06:30:01,C,8.558
19/09/2023, 07:00:01,C,8.558
19/09/2023, 07:30:01,C,9.059
19/09/2023, 08:00:01,C,9.561
19/09/2023, 08:30:01,C,10.062
19/09/2023, 09:00:01,C,10.563
19/09/2023, 09:30:01,C,14.57
19/09/2023, 10:00:01,C,15.071
19/09/2023, 10:30:01,C,15.071
19/09/2023, 11:00:01,C,15.071
19/09/2023, 11:30:01,C,14.57
19/09/2023, 12:00:01,C,14.57
19/09/2023, 12:30:01,C,14.069
19/09/2023, 13:00:01,C,14.57
19/09/2023, 13:30:01,C,14.069
19/09/2023, 14:00:01,C,14.069
19/09/2023, 14:30:01,C,14.069
19/09/2023, 15:00:01,C,14.57
19/09/2023, 15:30:01,C,14.57
19/09/2023, 16:00:01,C,15.571
19/09/2023, 16:30:01,C,15.571
19/09/2023, 17:00:01,C,15.571
19/09/2023, 17:30:01,C,15.571
19/09/2023, 18:00:01,C,15.571
19/09/2023, 18:30:01,C,15.571
19/09/2023, 19:00:01,C,15.571
19/09/2023, 19:30:01,C,15.571
19/09/2023, 20:00:01,C,15.571
19/09/2023, 20:30:01,C,15.571
19/09/2023, 21:00:01,C,15.571
19/09/2023, 21:30:01,C,15.571
19/09/2023, 22:00:01,C,15.571
19/09/2023, 22:30:01,C,15.571
19/09/2023, 23:00:01,C,15.571
19/09/2023, 23:30:01,C,15.071
20/09/2023, 00:00:01,C,15.071
20/09/2023, 00:30:01,C,15.071
20/09/2023, 01:00:01,C,15.071
20/09/2023, 01:30:01,C,15.071
20/09/2023, 02:00:01,C,15.071
20/09/2023, 02:30:01,C,15.571
20/09/2023, 03:00:01,C,15.571
20/09/2023, 03:30:01,C,15.071
20/09/2023, 04:00:01,C,15.071
20/09/2023, 04:30:01,C,15.571
20/09/2023, 05:00:01,C,15.571
20/09/2023, 05:30:01,C,15.571
20/09/2023, 06:00:01,C,15.571
20/09/2023, 06:30:01,C,15.571
20/09/2023, 07:00:01,C,15.571
20/09/2023, 07:30:01,C,15.571
20/09/2023, 08:00:01,C,15.571
20/09/2023, 08:30:01,C,15.571
20/09/2023, 09:00:01,C,15.571
20/09/2023, 09:30:01,C,15.571
20/09/2023, 10:00:01,C,15.571
20/09/2023, 10:30:01,C,15.571
