0;2023.04.24 11:30;4;22,625;22,875;23,25;364;202;0;0,0
1;2023.04.24 11:45;4;22,375;22,75;22,75;363;202;0;0,0
2;2023.04.24 12:00;4;22,25;22,625;22,625;363;202;0;0,0
3;2023.04.24 12:15;4;22,25;22,5625;22,625;362;202;0;0,0
4;2023.04.24 12:30;4;22,1875;22,5;22,5625;362;202;0;0,0
5;2023.04.24 12:45;4;22,125;22,375;22,5;361;202;0;0,0
6;2023.04.24 13:00;4;22,125;22,375;22,4375;361;202;0;0,0
7;2023.04.24 13:15;4;22,125;22,375;22,375;362;202;0;0,0
8;2023.04.24 13:30;4;22;22,25;22,25;361;202;0;0,0
9;2023.04.24 13:45;4;22,25;22,375;22,5;362;202;0;0,0
10;2023.04.24 14:00;4;22,125;22,375;22,375;362;202;0;0,0
11;2023.04.24 14:15;4;22;22,25;22,1875;361;202;0;0,0
12;2023.04.24 14:30;4;21,875;22,125;22,125;361;202;0;0,0
13;2023.04.24 14:45;4;21,75;22;22;360;202;0;0,0
14;2023.04.24 15:00;4;21,5;21,875;21,875;359;202;0;0,0
15;2023.04.24 15:15;4;21,625;21,9375;21,9375;360;202;0;0,0
16;2023.04.24 15:30;4;21,75;22;21,9375;360;202;0;0,0
17;2023.04.24 15:45;4;21,75;22;21,9375;360;202;0;0,0
18;2023.04.24 16:00;4;21,75;22;21,875;360;202;0;0,0
19;2023.04.24 16:15;4;21,75;22;21,875;360;202;0;0,0
20;2023.04.24 16:30;4;21,6875;21,9375;21,875;360;202;0;0,0
21;2023.04.24 16:45;4;21,6875;21,875;21,875;359;202;0;0,0
22;2023.04.24 17:00;4;21,625;21,875;21,875;359;202;0;0,0
23;2023.04.24 17:15;4;21,625;21,875;21,8125;359;202;0;0,0
24;2023.04.24 17:30;4;21,625;21,875;21,8125;359;202;0;0,0
25;2023.04.24 17:45;4;21,625;21,875;21,75;359;202;0;0,0
26;2023.04.24 18:00;4;21,625;21,875;21,75;359;202;0;0,0
27;2023.04.24 18:15;4;21,625;21,8125;21,75;359;202;0;0,0
